P	w[0]=向	w[1]=朋友	pos[0]=P	pos[1]=N	__BOS__
POST	w[-1]=者	w[0]=之間	w[1]=，	pos[-1]=N	pos[0]=POST	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=之間	w[0]=，	w[1]=所	pos[-1]=POST	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=所	w[1]=造成	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=所	w[0]=造成	w[1]=腦部	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=造成	w[0]=腦部	w[1]=活動	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=腦部	w[0]=活動	w[1]=的	pos[-1]=N	pos[0]=N	pos[1]=T
T	w[-1]=活動	w[0]=的	w[1]=不同	pos[-1]=N	pos[0]=T	pos[1]=Vi
Vi	w[-1]=的	w[0]=不同	w[1]=！	pos[-1]=T	pos[0]=Vi	pos[1]=EXCLAMATIONCATEGORY
EXCLAMATIONCATEGORY	w[-1]=不同	w[0]=！	w[1]=根據	pos[-1]=Vi	pos[0]=EXCLAMATIONCATEGORY	pos[1]=P
P	w[-1]=！	w[0]=根據	w[1]=美國	pos[-1]=EXCLAMATIONCATEGORY	pos[0]=P	pos[1]=N
N	w[-1]=根據	w[0]=美國	w[1]=加州	pos[-1]=P	pos[0]=N	pos[1]=N
N	w[-1]=美國	w[0]=加州	w[1]=大學	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=加州	w[0]=大學	w[1]=洛杉磯	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=大學	w[0]=洛杉磯	w[1]=分校	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=洛杉磯	w[0]=分校	w[1]=（	pos[-1]=N	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=分校	w[0]=（	w[1]=UCLA	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=FW
FW	w[-1]=（	w[0]=UCLA	w[1]=）	pos[-1]=PARENTHESISCATEGORY	pos[0]=FW	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=UCLA	w[0]=）	w[1]=一	pos[-1]=FW	pos[0]=PARENTHESISCATEGORY	pos[1]=DET
DET	w[-1]=）	w[0]=一	w[1]=群	pos[-1]=PARENTHESISCATEGORY	pos[0]=DET	pos[1]=M
M	w[-1]=一	w[0]=群	w[1]=科學家	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=群	w[0]=科學家	w[1]=，	pos[-1]=M	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=科學家	w[0]=，	w[1]=在	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=P
P	w[-1]=，	w[0]=在	w[1]=實驗室	pos[-1]=COMMACATEGORY	pos[0]=P	pos[1]=N
N	w[-1]=在	w[0]=實驗室	w[1]=中	pos[-1]=P	pos[0]=N	pos[1]=N
N	w[-1]=實驗室	w[0]=中	w[1]=引發	pos[-1]=N	pos[0]=N	pos[1]=Vt
Vt	w[-1]=中	w[0]=引發	w[1]=30	pos[-1]=N	pos[0]=Vt	pos[1]=DET
DET	w[-1]=引發	w[0]=30	w[1]=名	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=30	w[0]=名	w[1]=受	pos[-1]=DET	pos[0]=M	pos[1]=P
P	w[-1]=名	w[0]=受	w[1]=試	pos[-1]=M	pos[0]=P	pos[1]=Vt
Vt	w[-1]=受	w[0]=試	w[1]=者	pos[-1]=P	pos[0]=Vt	pos[1]=N
N	w[-1]=試	w[0]=者	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=者	w[0]=的	w[1]=情緒	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=情緒	w[1]=反應	pos[-1]=T	pos[0]=N	pos[1]=N
N	w[-1]=情緒	w[0]=反應	w[1]=並	pos[-1]=N	pos[0]=N	pos[1]=ADV
ADV	w[-1]=反應	w[0]=並	w[1]=觀察	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=並	w[0]=觀察	w[1]=他們	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=觀察	w[0]=他們	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=他們	w[0]=的	w[1]=腦部	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=腦部	w[1]=活動	pos[-1]=T	pos[0]=N	pos[1]=N
N	w[-1]=腦部	w[0]=活動	w[1]=變化	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=活動	w[0]=變化	w[1]=後	pos[-1]=N	pos[0]=N	pos[1]=POST
POST	w[-1]=變化	w[0]=後	w[1]=，	pos[-1]=N	pos[0]=POST	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=後	w[0]=，	w[1]=發表	pos[-1]=POST	pos[0]=COMMACATEGORY	pos[1]=Vt
Vt	w[-1]=，	w[0]=發表	w[1]=的	pos[-1]=COMMACATEGORY	pos[0]=Vt	pos[1]=T
T	w[-1]=發表	w[0]=的	w[1]=最	pos[-1]=Vt	pos[0]=T	pos[1]=ADV
ADV	w[-1]=的	w[0]=最	w[1]=新	pos[-1]=T	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=最	w[0]=新	w[1]=研究	pos[-1]=ADV	pos[0]=Vi	pos[1]=Vt
Vt	w[-1]=新	w[0]=研究	w[1]=發現	pos[-1]=Vi	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=研究	w[0]=發現	w[1]=：	pos[-1]=Vt	pos[0]=Vt	pos[1]=COLONCATEGORY
COLONCATEGORY	w[-1]=發現	w[0]=：	w[1]=「	pos[-1]=Vt	pos[0]=COLONCATEGORY	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=：	w[0]=「	w[1]=將	pos[-1]=COLONCATEGORY	pos[0]=PARENTHESISCATEGORY	pos[1]=P
P	w[-1]=「	w[0]=將	w[1]=自己	pos[-1]=PARENTHESISCATEGORY	pos[0]=P	pos[1]=N
N	w[-1]=將	w[0]=自己	w[1]=的	pos[-1]=P	pos[0]=N	pos[1]=T
T	w[-1]=自己	w[0]=的	w[1]=模糊	pos[-1]=N	pos[0]=T	pos[1]=Vi
Vi	w[-1]=的	w[0]=模糊	w[1]=感覺	pos[-1]=T	pos[0]=Vi	pos[1]=N
N	w[-1]=模糊	w[0]=感覺	w[1]=用	pos[-1]=Vi	pos[0]=N	pos[1]=P
P	w[-1]=感覺	w[0]=用	w[1]=精確	pos[-1]=N	pos[0]=P	pos[1]=Vi
Vi	w[-1]=用	w[0]=精確	w[1]=文字	pos[-1]=P	pos[0]=Vi	pos[1]=N
N	w[-1]=精確	w[0]=文字	w[1]=表達	pos[-1]=Vi	pos[0]=N	pos[1]=Vt
Vt	w[-1]=文字	w[0]=表達	w[1]=出來	pos[-1]=N	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=表達	w[0]=出來	w[1]=後	pos[-1]=Vt	pos[0]=Vi	pos[1]=POST
POST	w[-1]=出來	w[0]=後	w[1]=，	pos[-1]=Vi	pos[0]=POST	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=後	w[0]=，	w[1]=有助於	pos[-1]=POST	pos[0]=COMMACATEGORY	pos[1]=Vt
Vt	w[-1]=，	w[0]=有助於	w[1]=調節	pos[-1]=COMMACATEGORY	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=有助於	w[0]=調節	w[1]=腦部	pos[-1]=Vt	pos[0]=Vt	pos[1]=N
N	w[-1]=調節	w[0]=腦部	w[1]=控制	pos[-1]=Vt	pos[0]=N	pos[1]=Vt
Vt	w[-1]=腦部	w[0]=控制	w[1]=情緒	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=控制	w[0]=情緒	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=情緒	w[0]=的	w[1]=中樞	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=中樞	w[1]=（	pos[-1]=T	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=中樞	w[0]=（	w[1]=杏仁	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=（	w[0]=杏仁	w[1]=核	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=N
N	w[-1]=杏仁	w[0]=核	w[1]=amygdala	pos[-1]=N	pos[0]=N	pos[1]=FW
FW	w[-1]=核	w[0]=amygdala	w[1]=）	pos[-1]=N	pos[0]=FW	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=amygdala	w[0]=）	w[1]=以及	pos[-1]=FW	pos[0]=PARENTHESISCATEGORY	pos[1]=C
C	w[-1]=）	w[0]=以及	w[1]=右	pos[-1]=PARENTHESISCATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=以及	w[0]=右	w[1]=前額	pos[-1]=C	pos[0]=N	pos[1]=N
N	w[-1]=右	w[0]=前額	w[1]=頁	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=前額	w[0]=頁	w[1]=皮質	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=頁	w[0]=皮質	w[1]=的	pos[-1]=N	pos[0]=N	pos[1]=T
T	w[-1]=皮質	w[0]=的	w[1]=活動	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=活動	w[1]=。	pos[-1]=T	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=活動	w[0]=。	w[1]=」	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=PARENTHESISCATEGORY	__EOS__
PARENTHESISCATEGORY	w[-1]=。	w[0]=」	w[1]=其他	pos[-1]=PERIODCATEGORY	pos[0]=PARENTHESISCATEGORY	pos[1]=DET
DET	w[-1]=」	w[0]=其他	w[1]=相關	pos[-1]=PARENTHESISCATEGORY	pos[0]=DET	pos[1]=Vi
Vi	w[-1]=其他	w[0]=相關	w[1]=的	pos[-1]=DET	pos[0]=Vi	pos[1]=T
T	w[-1]=相關	w[0]=的	w[1]=研究	pos[-1]=Vi	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=研究	w[1]=也	pos[-1]=T	pos[0]=Nv	pos[1]=ADV
ADV	w[-1]=研究	w[0]=也	w[1]=指出	pos[-1]=Nv	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=也	w[0]=指出	w[1]=，	pos[-1]=ADV	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=指出	w[0]=，	w[1]=長期	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=長期	w[1]=進行	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=Vt
Vt	w[-1]=長期	w[0]=進行	w[1]=心理	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=進行	w[0]=心理	w[1]=諮商	pos[-1]=Vt	pos[0]=N	pos[1]=Nv
Nv	w[-1]=心理	w[0]=諮商	w[1]=的	pos[-1]=N	pos[0]=Nv	pos[1]=T
T	w[-1]=諮商	w[0]=的	w[1]=憂鬱症	pos[-1]=Nv	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=憂鬱症	w[1]=病人	pos[-1]=T	pos[0]=N	pos[1]=N
N	w[-1]=憂鬱症	w[0]=病人	w[1]=，	pos[-1]=N	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=病人	w[0]=，	w[1]=其	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=DET
DET	w[-1]=，	w[0]=其	w[1]=腦部	pos[-1]=COMMACATEGORY	pos[0]=DET	pos[1]=N
N	w[-1]=其	w[0]=腦部	w[1]=神經	pos[-1]=DET	pos[0]=N	pos[1]=N
N	w[-1]=腦部	w[0]=神經	w[1]=連結	pos[-1]=N	pos[0]=N	pos[1]=Nv
Nv	w[-1]=神經	w[0]=連結	w[1]=與	pos[-1]=N	pos[0]=Nv	pos[1]=C
C	w[-1]=連結	w[0]=與	w[1]=未	pos[-1]=Nv	pos[0]=C	pos[1]=ADV
ADV	w[-1]=與	w[0]=未	w[1]=接受	pos[-1]=C	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=未	w[0]=接受	w[1]=心理	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=接受	w[0]=心理	w[1]=諮商	pos[-1]=Vt	pos[0]=N	pos[1]=Nv
Nv	w[-1]=心理	w[0]=諮商	w[1]=的	pos[-1]=N	pos[0]=Nv	pos[1]=T
T	w[-1]=諮商	w[0]=的	w[1]=憂鬱症	pos[-1]=Nv	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=憂鬱症	w[1]=病人	pos[-1]=T	pos[0]=N	pos[1]=N
N	w[-1]=憂鬱症	w[0]=病人	w[1]=顯然	pos[-1]=N	pos[0]=N	pos[1]=ADV
ADV	w[-1]=病人	w[0]=顯然	w[1]=大不相同	pos[-1]=N	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=顯然	w[0]=大不相同	w[1]=！	pos[-1]=ADV	pos[0]=Vi	pos[1]=EXCLAMATIONCATEGORY
EXCLAMATIONCATEGORY	w[-1]=大不相同	w[0]=！	w[1]=換句話說	pos[-1]=Vi	pos[0]=EXCLAMATIONCATEGORY	pos[1]=ADV
ADV	w[-1]=！	w[0]=換句話說	w[1]=，	pos[-1]=EXCLAMATIONCATEGORY	pos[0]=ADV	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=換句話說	w[0]=，	w[1]=有效	pos[-1]=ADV	pos[0]=COMMACATEGORY	pos[1]=Vi
Vi	w[-1]=，	w[0]=有效	w[1]=的	pos[-1]=COMMACATEGORY	pos[0]=Vi	pos[1]=T
T	w[-1]=有效	w[0]=的	w[1]=談話	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=談話	w[1]=（	pos[-1]=T	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=談話	w[0]=（	w[1]=例如	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=P
P	w[-1]=（	w[0]=例如	w[1]=與	pos[-1]=PARENTHESISCATEGORY	pos[0]=P	pos[1]=P
P	w[-1]=例如	w[0]=與	w[1]=訓練有素	pos[-1]=P	pos[0]=P	pos[1]=Vi
Vi	w[-1]=與	w[0]=訓練有素	w[1]=的	pos[-1]=P	pos[0]=Vi	pos[1]=T
T	w[-1]=訓練有素	w[0]=的	w[1]=心理師	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=心理師	w[1]=進行	pos[-1]=T	pos[0]=N	pos[1]=Vt
Vt	w[-1]=心理師	w[0]=進行	w[1]=心理	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=進行	w[0]=心理	w[1]=諮商	pos[-1]=Vt	pos[0]=N	pos[1]=Nv
Nv	w[-1]=心理	w[0]=諮商	w[1]=）	pos[-1]=N	pos[0]=Nv	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=諮商	w[0]=）	w[1]=，	pos[-1]=Nv	pos[0]=PARENTHESISCATEGORY	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=）	w[0]=，	w[1]=就	pos[-1]=PARENTHESISCATEGORY	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=就	w[1]=像	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=就	w[0]=像	w[1]=是	pos[-1]=ADV	pos[0]=Vt	pos[1]=Vt
Vt	w[-1]=像	w[0]=是	w[1]=替	pos[-1]=Vt	pos[0]=Vt	pos[1]=P
P	w[-1]=是	w[0]=替	w[1]=大腦	pos[-1]=Vt	pos[0]=P	pos[1]=N
N	w[-1]=替	w[0]=大腦	w[1]=作	pos[-1]=P	pos[0]=N	pos[1]=Vt
Vt	w[-1]=大腦	w[0]=作	w[1]=了	pos[-1]=N	pos[0]=Vt	pos[1]=ASP
ASP	w[-1]=作	w[0]=了	w[1]=隱形	pos[-1]=Vt	pos[0]=ASP	pos[1]=Vi
Vi	w[-1]=了	w[0]=隱形	w[1]=的	pos[-1]=ASP	pos[0]=Vi	pos[1]=T
T	w[-1]=隱形	w[0]=的	w[1]=手術	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=手術	w[1]=。	pos[-1]=T	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=手術	w[0]=。	w[1]=透過	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=P	__EOS__
P	w[-1]=。	w[0]=透過	w[1]=這	pos[-1]=PERIODCATEGORY	pos[0]=P	pos[1]=DET
DET	w[-1]=透過	w[0]=這	w[1]=種	pos[-1]=P	pos[0]=DET	pos[1]=M
M	w[-1]=這	w[0]=種	w[1]=實證	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=種	w[0]=實證	w[1]=有效	pos[-1]=M	pos[0]=N	pos[1]=Vi
Vi	w[-1]=實證	w[0]=有效	w[1]=的	pos[-1]=N	pos[0]=Vi	pos[1]=T
T	w[-1]=有效	w[0]=的	w[1]=方式	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=方式	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=方式	w[0]=，	w[1]=可	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=可	w[1]=協助	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=可	w[0]=協助	w[1]=將	pos[-1]=ADV	pos[0]=Vt	pos[1]=P
P	w[-1]=協助	w[0]=將	w[1]=自己	pos[-1]=Vt	pos[0]=P	pos[1]=N
N	w[-1]=將	w[0]=自己	w[1]=的	pos[-1]=P	pos[0]=N	pos[1]=T
T	w[-1]=自己	w[0]=的	w[1]=情緒	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=情緒	w[1]=精確	pos[-1]=T	pos[0]=N	pos[1]=Vi
Vi	w[-1]=情緒	w[0]=精確	w[1]=地	pos[-1]=N	pos[0]=Vi	pos[1]=T
T	w[-1]=精確	w[0]=地	w[1]=表達	pos[-1]=Vi	pos[0]=T	pos[1]=Nv
Nv	w[-1]=地	w[0]=表達	w[1]=出來	pos[-1]=T	pos[0]=Nv	pos[1]=Vi
Vi	w[-1]=表達	w[0]=出來	w[1]=，	pos[-1]=Nv	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=出來	w[0]=，	w[1]=其	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=DET
DET	w[-1]=，	w[0]=其	w[1]=結果	pos[-1]=COMMACATEGORY	pos[0]=DET	pos[1]=N
N	w[-1]=其	w[0]=結果	w[1]=不僅	pos[-1]=DET	pos[0]=N	pos[1]=C
C	w[-1]=結果	w[0]=不僅	w[1]=可	pos[-1]=N	pos[0]=C	pos[1]=ADV
ADV	w[-1]=不僅	w[0]=可	w[1]=提升	pos[-1]=C	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=可	w[0]=提升	w[1]=自己	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=提升	w[0]=自己	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=自己	w[0]=的	w[1]=心情	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=心情	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=心情	w[0]=，	w[1]=也	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=也	w[1]=可	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=也	w[0]=可	w[1]=避免	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=可	w[0]=避免	w[1]=一時	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=避免	w[0]=一時	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=一時	w[0]=的	w[1]=情緒	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=情緒	w[1]=衝動	pos[-1]=T	pos[0]=N	pos[1]=Nv
Nv	w[-1]=情緒	w[0]=衝動	w[1]=轉變成	pos[-1]=N	pos[0]=Nv	pos[1]=Vt
Vt	w[-1]=衝動	w[0]=轉變成	w[1]=行動	pos[-1]=Nv	pos[0]=Vt	pos[1]=N
N	w[-1]=轉變成	w[0]=行動	w[1]=，	pos[-1]=Vt	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=行動	w[0]=，	w[1]=而	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=而	w[1]=導致	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=Vt
Vt	w[-1]=而	w[0]=導致	w[1]=日後	pos[-1]=C	pos[0]=Vt	pos[1]=N
N	w[-1]=導致	w[0]=日後	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=日後	w[0]=的	w[1]=悔恨	pos[-1]=N	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=悔恨	w[1]=。	pos[-1]=T	pos[0]=Nv	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=悔恨	w[0]=。	w[1]=你	pos[-1]=Nv	pos[0]=PERIODCATEGORY	pos[1]=N	__EOS__
N	w[-1]=。	w[0]=你	w[1]=是	pos[-1]=PERIODCATEGORY	pos[0]=N	pos[1]=Vt
Vt	w[-1]=你	w[0]=是	w[1]=個	pos[-1]=N	pos[0]=Vt	pos[1]=M
M	w[-1]=是	w[0]=個	w[1]=容易	pos[-1]=Vt	pos[0]=M	pos[1]=Vi
Vi	w[-1]=個	w[0]=容易	w[1]=抱怨	pos[-1]=M	pos[0]=Vi	pos[1]=Vt
Vt	w[-1]=容易	w[0]=抱怨	w[1]=的	pos[-1]=Vi	pos[0]=Vt	pos[1]=T
T	w[-1]=抱怨	w[0]=的	w[1]=人	pos[-1]=Vt	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=人	w[1]=嗎	pos[-1]=T	pos[0]=N	pos[1]=T
T	w[-1]=人	w[0]=嗎	w[1]=？	pos[-1]=N	pos[0]=T	pos[1]=QUESTIONCATEGORY
QUESTIONCATEGORY	w[-1]=嗎	w[0]=？	w[1]=試試看	pos[-1]=T	pos[0]=QUESTIONCATEGORY	pos[1]=Vt
Vt	w[-1]=？	w[0]=試試看	w[1]=一	pos[-1]=QUESTIONCATEGORY	pos[0]=Vt	pos[1]=DET
DET	w[-1]=試試看	w[0]=一	w[1]=整	pos[-1]=Vt	pos[0]=DET	pos[1]=DET
DET	w[-1]=一	w[0]=整	w[1]=天	pos[-1]=DET	pos[0]=DET	pos[1]=M
M	w[-1]=整	w[0]=天	w[1]=都	pos[-1]=DET	pos[0]=M	pos[1]=ADV
ADV	w[-1]=天	w[0]=都	w[1]=不	pos[-1]=M	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=都	w[0]=不	w[1]=抱怨	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=不	w[0]=抱怨	w[1]=，	pos[-1]=ADV	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=抱怨	w[0]=，	w[1]=你	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=你	w[1]=就	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=ADV
ADV	w[-1]=你	w[0]=就	w[1]=會	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=就	w[0]=會	w[1]=知道	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=會	w[0]=知道	w[1]=那	pos[-1]=ADV	pos[0]=Vt	pos[1]=DET
DET	w[-1]=知道	w[0]=那	w[1]=有	pos[-1]=Vt	pos[0]=DET	pos[1]=Vt
Vt	w[-1]=那	w[0]=有	w[1]=多難	pos[-1]=DET	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=有	w[0]=多難	w[1]=了	pos[-1]=Vt	pos[0]=Vi	pos[1]=T
T	w[-1]=多難	w[0]=了	w[1]=！	pos[-1]=Vi	pos[0]=T	pos[1]=EXCLAMATIONCATEGORY
EXCLAMATIONCATEGORY	w[-1]=了	w[0]=！	w[1]=很多	pos[-1]=T	pos[0]=EXCLAMATIONCATEGORY	pos[1]=DET
DET	w[-1]=！	w[0]=很多	w[1]=時候	pos[-1]=EXCLAMATIONCATEGORY	pos[0]=DET	pos[1]=N
N	w[-1]=很多	w[0]=時候	w[1]=，	pos[-1]=DET	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=時候	w[0]=，	w[1]=我們	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=我們	w[1]=不知不覺	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=ADV
ADV	w[-1]=我們	w[0]=不知不覺	w[1]=中	pos[-1]=N	pos[0]=ADV	pos[1]=N
N	w[-1]=不知不覺	w[0]=中	w[1]=運用	pos[-1]=ADV	pos[0]=N	pos[1]=Vt
Vt	w[-1]=中	w[0]=運用	w[1]=「	pos[-1]=N	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=運用	w[0]=「	w[1]=抱怨	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=Vt
Vt	w[-1]=「	w[0]=抱怨	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=抱怨	w[0]=」	w[1]=當成	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=Vt
Vt	w[-1]=」	w[0]=當成	w[1]=人際	pos[-1]=PARENTHESISCATEGORY	pos[0]=Vt	pos[1]=N
N	w[-1]=當成	w[0]=人際	w[1]=溝通	pos[-1]=Vt	pos[0]=N	pos[1]=Vt
Vt	w[-1]=人際	w[0]=溝通	w[1]=中	pos[-1]=N	pos[0]=Vt	pos[1]=POST
POST	w[-1]=溝通	w[0]=中	w[1]=的	pos[-1]=Vt	pos[0]=POST	pos[1]=T
T	w[-1]=中	w[0]=的	w[1]=潤滑劑	pos[-1]=POST	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=潤滑劑	w[1]=。	pos[-1]=T	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=潤滑劑	w[0]=。	w[1]=跟	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=P	__EOS__
P	w[-1]=。	w[0]=跟	w[1]=一	pos[-1]=PERIODCATEGORY	pos[0]=P	pos[1]=DET
DET	w[-1]=跟	w[0]=一	w[1]=個	pos[-1]=P	pos[0]=DET	pos[1]=M
M	w[-1]=一	w[0]=個	w[1]=好久	pos[-1]=DET	pos[0]=M	pos[1]=Vi
Vi	w[-1]=個	w[0]=好久	w[1]=不	pos[-1]=M	pos[0]=Vi	pos[1]=ADV
